"Title","Artist","Album","Melon_Rank","Like","Date","Genre"
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,59,363268,"2019.09.25","발라드, 록/메탈, 포크/블루스"
밤하늘의 별을(2020),경서,밤하늘의 별을(2020),60,166102,"2020.11.14",발라드
멜로디,ASH ISLAND,멜로디,61,110689,"2021.02.25",랩/힙합
Sticker,NCT 127,Sticker - The 3rd Album,62,65212,"2021.09.17","댄스, 랩/힙합, R&B/Soul, 발라드"
Lovesick Girls,BLACKPINK,THE ALBUM,63,204124,"2020.10.02","댄스, 랩/힙합, R&B/Soul"
너의 모습,정동하,너의 모습,64,6972,"2021.10.04",발라드
취기를 빌려 (취향저격 그녀 X 산들),산들,취기를 빌려 (취향저격 그녀 X 산들),65,202180,"2020.07.20",발라드
찬란한 계절,폴킴,찬란한 계절,66,9558,"2021.10.07",R&B/Soul
전화 한 번 못하니,신예영,전화 한 번 못하니 (너에게 하고 싶은 말 X 신예영),67,10534,"2021.09.26",발라드
오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),Red Moon : To You My Light,68,247526,"2019.06.09","R&B/Soul, 인디음악"
Blueming,아이유,Love poem,69,319410,"2019.11.18",록/메탈
"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,70,377410,"2018.03.20","발라드, 국내드라마"
안녕 (Hello),조이 (JOY),안녕 (Hello) - Special Album,71,112257,"2021.05.31","발라드, R&B/Soul, 록/메탈"
잠이 오질 않네요,장범준,잠이 오질 않네요,72,149462,"2020.10.24",발라드
그날에 나는 맘이 편했을까,이예준,그날에 나는 맘이 편했을까,73,66117,"2020.12.03",발라드
아로하,조정석,슬기로운 의사생활 OST Part 3,74,229248,"2020.03.27","국내드라마, 발라드"
치맛바람 (Chi Mat Ba Ram),브레이브걸스,Summer Queen,75,93371,"2021.06.17",댄스
Alcohol-Free,TWICE (트와이스),Taste of Love,76,76755,"2021.06.11","댄스, R&B/Soul"
오래된 노래,스탠딩 에그,오래된 노래,77,236563,"2012.09.04","포크/블루스, 인디음악"
운전만해 (We Ride),브레이브걸스,We Ride,78,130360,"2020.08.14",댄스
Timeless,SG 워너비,Sg Wanna Be+,79,104649,"2004.01.20",발라드
에잇(Prod.&Feat. SUGA of BTS),아이유,에잇,80,368223,"2020.05.06",록/메탈
비 오는 날 듣기 좋은 노래 (Feat. Colde),에픽하이 (EPIK HIGH),비 오는 날 듣기 좋은 노래,81,64471,"2021.06.29",랩/힙합
흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3,82,294278,"2019.08.23","국내드라마, 록/메탈"
METEOR,창모 (CHANGMO),Boyhood,83,271525,"2019.11.29",랩/힙합
내 기억 속에 남아 있는 그대 모습은,산들,갯마을 차차차 OST Part 6,84,15146,"2021.10.03","국내드라마, 록/메탈"
어푸 (Ah puh),아이유,IU 5th Album 'LILAC',85,104313,"2021.03.25","댄스, 발라드, R&B/Soul"
"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)","양요섭, 정은지","LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",86,103512,"2021.03.05",댄스
"2002",Anne-Marie,Speak Your Mind (Deluxe),87,370163,"2018.08.03",POP
고백,"10CM",두 번째 '고백',88,35271,"2021.08.08",록/메탈
너의 번호를 누르고 (Prod. 영화처럼),#안녕,너의 번호를 누르고,89,90143,"2019.11.30","발라드, 인디음악"
사실 나는 (Feat.전건호),경서예지,사실 나는,90,84739,"2020.04.12",발라드
빨간 립스틱 (Feat. 윤미래),이하이,"4 ONLY",91,21214,"2021.09.09",R&B/Soul
상상더하기,라붐 (LABOUM),Fresh Adventure,92,125261,"2016.04.06","댄스, 발라드"
산책,백예린 (Yerin Baek),선물,93,44533,"2021.09.10",발라드
"12:45 (Stripped)",Etham,"12:45 (Stripped)",94,151706,"2018.10.26",POP
여전히 아름다운지,세븐틴,슬기로운 의사생활 시즌2 OST Part 8,95,45610,"2021.08.13","국내드라마, 발라드"
바래,HYNN (박혜원),바래,96,7380,"2021.10.03",발라드
이젠 잊기로 해요 (Drama Ver.),미도와 파라솔,슬기로운 의사생활 시즌2 OST Special,97,29147,"2021.07.30","국내드라마, 발라드, 록/메탈"
해운대,순순희,해운대,98,8932,"2021.09.22","발라드, 인디음악"
Dolphin,오마이걸 (OH MY GIRL),NONSTOP,99,192594,"2020.04.27","댄스, 발라드"
나를 아는 사람,MSG워너비(정상동기),MSG워너비 1집,100,69906,"2021.06.26",발라드
